gene p_val avg_logFC p_val_adj cluster
Clec12a 2,15E-19 0,6797228 1,65E-15 5
Atp5b 5,04E-19 0,5895514 3,88E-15 5
Atp6ap2 4,55E-18 0,6521125 3,50E-14 5
Txn1 5,73E-18 0,5953859 4,41E-14 5
Aldoa 2,06E-16 0,5445913 1,59E-12 5
Vim 7,63E-16 0,3266097 5,87E-12 5
Cstb 3,91E-14 0,4908419 3,01E-10 5
Mdh2 4,74E-13 0,5192962 3,64E-09 5
Atp5g3 2,82E-12 0,548405 2,17E-08 5
Sh3bgrl3 3,88E-12 0,2901452 2,98E-08 5
Mrpl52 4,78E-12 0,4990309 3,67E-08 5
Atp6v0b 1,01E-11 0,4278917 7,75E-08 5
Uqcr10 2,98E-11 0,4624327 2,29E-07 5
Rps8 4,25E-11 0,2593157 3,27E-07 5
Rps19 1,35E-10 0,2506816 1,04E-06 5
Ndufb5 1,62E-10 0,4361181 1,25E-06 5
Slc25a3 1,73E-10 0,3565163 1,33E-06 5
Uqcrfs1 1,81E-10 0,4944496 1,40E-06 5
Cox5a 3,70E-10 0,3842793 2,85E-06 5
Rps13 3,78E-10 0,2747031 2,91E-06 5
Atp5c1 6,70E-10 0,4545524 5,16E-06 5
Rps16 1,14E-09 0,2777837 8,74E-06 5
Cox6b1 1,18E-09 0,3151552 9,10E-06 5
Mdh1 2,11E-09 0,4637367 1,62E-05 5
Ccl9 2,52E-09 0,3447143 1,94E-05 5
Slc25a4 2,27E-08 0,3759794 0,0001746 5
Cycs 1,09E-07 0,4182443 0,0008364 5
Atp5a1 1,37E-07 0,4350791 0,0010554 5
Ndufab1 1,49E-07 0,3768366 0,0011467 5
Gpr137b 2,55E-07 0,3731087 0,0019642 5
Atp5o 2,65E-07 0,3711643 0,0020417 5
Rps7 3,84E-07 0,270865 0,002953 5
Ndufv2 4,61E-07 0,3838279 0,0035454 5
Arf1 5,91E-07 0,3578269 0,0045439 5
Rpl36al 6,23E-07 0,346795 0,0047959 5
Slc25a5 8,31E-07 0,3103557 0,0063954 5
Npm1 9,10E-07 0,3250698 0,0070003 5
Rpl10a 1,29E-06 0,2620756 0,0099586 5
Ndufb8 2,06E-06 0,3234848 0,0158748 5
Uqcrb 5,78E-06 0,285285 0,0444756 5
Ndufc2 7,14E-06 0,3436336 0,0549421 5
Cox6c 8,31E-06 0,2535836 0,0639383 5
Slc39a1 1,65E-05 0,3069946 0,1269292 5
Atpif1 1,83E-05 0,3071665 0,1410906 5
Uqcrc1 1,89E-05 0,3785272 0,1454475 5
Atp6v1f 2,06E-05 0,3204882 0,1583911 5
Actr3 3,77E-05 0,2794907 0,2898158 5
Polr1d 5,16E-05 0,3399788 0,3968503 5
Atp5g2 7,06E-05 0,2973603 0,5430191 5
Sec11c 7,19E-05 0,2802466 0,5531323 5
Vdac2 8,09E-05 0,3020719 0,6224995 5
Ndufs7 0,0001196 0,3316647 0,9203837 5
Nop10 0,0002573 0,288013 1 5
Atp5f1 0,0003718 0,2761075 1 5
Ndufa1 0,0008182 0,313692 1 5
Cox7b 0,0008272 0,2930384 1 5
Usmg5 0,0016196 0,2652113 1 5
Clec4a2 0,003731 0,2547257 1 5
