gene p_val avg_logFC p_val_adj cluster
Plac8 0 2,52300046 0 0
Hp 0 2,06883801 0 0
Ly6c2 0 1,73516456 0 0
Ms4a4c 0 1,69234936 0 0
Sirpb1c 0 1,67430965 0 0
Cd52 1,99E-294 1,43076069 2,47E-290 0
Junb 1,51E-111 0,83441207 1,87E-107 0
Prdx6 2,52E-110 0,90632532 3,14E-106 0
Trem1 1,44E-107 0,61368769 1,79E-103 0
H3f3b 1,81E-106 0,47117036 2,26E-102 0
Btg1 5,83E-106 0,70696625 7,25E-102 0
Rpl18a 1,45E-105 0,3934582 1,81E-101 0
Ly6e 4,53E-104 0,66981937 5,64E-100 0
Rps16 2,39E-103 0,38683312 2,97E-99 0
Cd53 2,72E-103 0,64926675 3,38E-99 0
Bin2 5,03E-103 0,77355109 6,26E-99 0
Smox 7,22E-103 0,76558862 8,99E-99 0
Tpd52 3,54E-101 0,75771786 4,41E-97 0
Slc7a11 2,09E-100 0,88102819 2,60E-96 0
Fxyd5 2,12E-98 0,4922635 2,63E-94 0
Alox5ap 1,53E-97 0,49619789 1,90E-93 0
Ms4a6d 1,52E-93 0,8181358 1,89E-89 0
Clec4a2 5,20E-93 0,7597045 6,47E-89 0
Fgr 1,17E-92 0,69301466 1,46E-88 0
Lmnb1 3,08E-91 0,77394898 3,84E-87 0
Sec61g 1,04E-88 0,50641706 1,30E-84 0
Hif1a 1,21E-88 0,78667846 1,51E-84 0
Slfn2 1,36E-88 0,73406473 1,69E-84 0
Itgb7 8,84E-88 0,66108841 1,10E-83 0
Rpl18 1,85E-86 0,41148349 2,31E-82 0
AB124611 1,90E-86 0,68225231 2,36E-82 0
Rbm3 2,88E-86 0,49890428 3,58E-82 0
Zbp1 7,79E-86 0,63336015 9,69E-82 0
Plaur 2,24E-85 0,83261721 2,79E-81 0
Gm2a 7,00E-85 0,6494445 8,72E-81 0
Fcer1g 9,71E-85 0,3228364 1,21E-80 0
Actr3 3,56E-84 0,56397802 4,44E-80 0
Tlr2 5,14E-83 0,79820508 6,39E-79 0
Ctsh 5,99E-83 0,59281081 7,45E-79 0
Fos 4,60E-82 0,69882515 5,73E-78 0
Arhgdib 9,56E-82 0,57419223 1,19E-77 0
Ier3 1,73E-80 1,20856228 2,16E-76 0
Arpc2 3,13E-80 0,40320067 3,90E-76 0
Ccl6 4,47E-80 0,8662862 5,56E-76 0
Eno1 4,52E-79 0,56702468 5,63E-75 0
Fam96a 7,72E-79 0,60979192 9,61E-75 0
Ifi209 3,31E-78 0,55763962 4,12E-74 0
Uck2 3,57E-78 0,62180197 4,45E-74 0
H2-DMa 2,32E-76 0,48995961 2,89E-72 0
Ppp1ca 4,70E-76 0,52272639 5,85E-72 0
Emilin2 1,02E-75 0,67442936 1,27E-71 0
Rps7 4,73E-74 0,3693767 5,89E-70 0
Pld4 1,29E-73 0,59334029 1,61E-69 0
Rpl4 3,76E-73 0,41993428 4,68E-69 0
Rps19 7,17E-73 0,29062315 8,92E-69 0
Rps14 9,56E-73 0,27944494 1,19E-68 0
Clec4a3 5,16E-72 0,68520542 6,42E-68 0
Lrrc25 1,16E-71 0,62611897 1,44E-67 0
Rpl9 3,83E-71 0,34747766 4,77E-67 0
Adam8 6,96E-70 0,66474845 8,66E-66 0
H2afj 1,52E-69 0,54931491 1,89E-65 0
Ncf4 3,57E-69 0,64082698 4,44E-65 0
Igsf6 3,95E-69 0,63206349 4,92E-65 0
Rnf149 4,27E-69 0,64119612 5,31E-65 0
Rps27a 2,04E-68 0,28047554 2,54E-64 0
Rnh1 4,61E-68 0,64931024 5,74E-64 0
Msr1 3,69E-67 0,64399884 4,60E-63 0
Rpl8 4,53E-67 0,33727662 5,63E-63 0
Ube2d3 5,62E-67 0,48222512 7,00E-63 0
Dusp1 1,55E-66 0,64710284 1,94E-62 0
Mefv 2,54E-66 0,4767065 3,17E-62 0
Phlda1 5,28E-66 0,69268059 6,57E-62 0
Samhd1 6,61E-66 0,75928628 8,23E-62 0
Rps15a 4,07E-65 0,31982794 5,07E-61 0
Rpl10 8,23E-65 0,27559317 1,02E-60 0
Ifngr1 8,93E-65 0,59747211 1,11E-60 0
Csf2ra 9,36E-65 0,58465186 1,17E-60 0
Slc25a5 2,27E-64 0,42008071 2,82E-60 0
Nfkbia 3,11E-64 0,83604367 3,87E-60 0
Eif4a1 5,19E-64 0,44661288 6,46E-60 0
Arpc3 1,29E-62 0,40192948 1,60E-58 0
Glipr2 1,91E-62 0,53107888 2,38E-58 0
Serp1 2,15E-62 0,56430035 2,68E-58 0
Runx3 2,47E-62 0,5150691 3,08E-58 0
Rpl34 7,91E-62 0,29696075 9,85E-58 0
Adora2b 8,45E-62 0,55766177 1,05E-57 0
Rpl17 7,51E-61 0,30263823 9,34E-57 0
Zfp36 7,54E-61 0,53955863 9,38E-57 0
Rps3 1,45E-60 0,27660085 1,81E-56 0
Sec61b 3,68E-60 0,45622496 4,58E-56 0
Rps18 1,45E-59 0,26398197 1,81E-55 0
Adssl1 4,80E-59 0,59777933 5,98E-55 0
Cfp 9,28E-59 0,59436949 1,15E-54 0
Rpsa 3,91E-58 0,36666435 4,87E-54 0
Slc15a3 4,11E-58 0,5664899 5,11E-54 0
Gm9844 6,63E-58 0,55242677 8,25E-54 0
Flot1 9,35E-58 0,55345863 1,16E-53 0
Gpr132 1,58E-57 0,52898824 1,96E-53 0
Mxd1 1,21E-56 0,54903892 1,51E-52 0
Aprt 2,32E-56 0,52017741 2,88E-52 0
Ccrl2 1,24E-55 0,93787623 1,55E-51 0
Uba52 7,34E-55 0,48224346 9,13E-51 0
Gsr 3,15E-54 0,53503861 3,92E-50 0
Mrpl52 4,22E-54 0,45052689 5,25E-50 0
Ptpn1 4,47E-54 0,64144471 5,56E-50 0
Capza2 5,82E-54 0,42940314 7,25E-50 0
Ifi204 6,57E-54 0,64290004 8,17E-50 0
Rpl15 8,23E-54 0,30816452 1,02E-49 0
Slc16a3 1,10E-53 0,61261308 1,37E-49 0
Skap2 1,24E-53 0,52244671 1,54E-49 0
Anxa2 1,58E-53 0,34909261 1,97E-49 0
Rac2 4,61E-53 0,55009201 5,74E-49 0
Myl12a 5,49E-53 0,4365848 6,83E-49 0
Cd14 8,26E-53 1,03106394 1,03E-48 0
Tgif1 8,89E-52 0,60333281 1,11E-47 0
Esd 1,16E-51 0,544419 1,45E-47 0
Ms4a6b 3,46E-51 0,58579515 4,31E-47 0
Gapdh 7,82E-51 0,39296062 9,73E-47 0
Cdk2ap2 2,88E-50 0,59622096 3,58E-46 0
Cdkn1a 8,13E-50 0,55140824 1,01E-45 0
Clec4a1 2,06E-49 0,50098913 2,56E-45 0
Pde4b 5,84E-49 0,50730144 7,27E-45 0
Mmp19 8,77E-49 0,48394094 1,09E-44 0
Clec4n 1,32E-48 0,56322654 1,64E-44 0
Rpl19 2,38E-48 0,25977629 2,96E-44 0
Hnrnpa3 3,98E-48 0,43793174 4,96E-44 0
Mpeg1 4,79E-48 0,48491275 5,96E-44 0
Rpl27a 3,81E-46 0,26881741 4,74E-42 0
Pirb 1,32E-45 0,54455039 1,65E-41 0
Rpl36al 1,72E-45 0,37723784 2,14E-41 0
Socs3 2,77E-45 0,58909724 3,44E-41 0
Jarid2 3,73E-44 0,5127162 4,64E-40 0
Hcls1 6,66E-44 0,46425666 8,29E-40 0
Csf2rb 1,03E-43 0,4867781 1,28E-39 0
Lrrfip1 1,52E-43 0,54884455 1,90E-39 0
Rpl24 1,80E-43 0,26507138 2,24E-39 0
Ccr1 3,48E-43 0,57833642 4,33E-39 0
Gm6377 5,67E-43 0,51317339 7,05E-39 0
Sub1 4,09E-42 0,32800382 5,09E-38 0
Nfe2l2 6,87E-42 0,58272648 8,55E-38 0
Evl 7,43E-42 0,45281001 9,24E-38 0
Shisa5 5,00E-41 0,37332051 6,22E-37 0
Sys1 1,70E-40 0,46063247 2,12E-36 0
Btf3 2,54E-40 0,3042485 3,16E-36 0
Lsp1 3,22E-40 0,4277112 4,01E-36 0
Hck 4,90E-40 0,47925177 6,10E-36 0
Smpdl3a 5,34E-40 0,62880618 6,64E-36 0
Id2 1,00E-39 0,53815076 1,25E-35 0
Capzb 3,16E-39 0,33413138 3,94E-35 0
Btg2 4,05E-39 0,42450629 5,05E-35 0
Glrx 4,37E-39 0,51123595 5,43E-35 0
Smim3 8,12E-39 0,42924708 1,01E-34 0
Nr4a2 1,97E-38 0,51070238 2,45E-34 0
Arpc4 2,08E-38 0,38814614 2,58E-34 0
Mrpl33 2,58E-38 0,4146554 3,21E-34 0
Cnn2 4,26E-38 0,4057407 5,30E-34 0
Tmem167 7,60E-38 0,46775584 9,46E-34 0
Cotl1 1,20E-37 0,33471942 1,49E-33 0
Kdm6b 1,29E-37 0,53430119 1,61E-33 0
Myl12b 3,79E-37 0,44471806 4,71E-33 0
Cxcl2 5,00E-37 0,93530553 6,22E-33 0
Gm21188 3,30E-36 0,44112351 4,11E-32 0
Srsf5 1,09E-35 0,41403662 1,35E-31 0
Nr4a1 5,06E-35 0,57420296 6,29E-31 0
Arf1 1,74E-34 0,3713162 2,17E-30 0
Pgk1 5,66E-34 0,39007781 7,04E-30 0
Ctsc 7,83E-34 0,40396772 9,75E-30 0
Por 8,52E-34 0,45419533 1,06E-29 0
Hnrnpdl 2,66E-33 0,41000679 3,31E-29 0
Mgst1 3,55E-33 0,53033562 4,42E-29 0
Rpl27 5,64E-33 0,27443327 7,02E-29 0
Ncf2 1,03E-32 0,42664003 1,29E-28 0
Ppp1r15a 1,21E-32 0,44871147 1,51E-28 0
Irf5 1,52E-32 0,42762144 1,89E-28 0
Chmp4b 3,23E-32 0,40059858 4,02E-28 0
Cd300c2 3,55E-32 0,43420737 4,42E-28 0
Ldha 8,15E-32 0,34986164 1,01E-27 0
Pold4 8,93E-32 0,45133897 1,11E-27 0
Tspo 9,92E-32 0,27870888 1,23E-27 0
Rbm39 1,21E-31 0,34220916 1,51E-27 0
Clic1 1,30E-31 0,28334268 1,62E-27 0
Psmb8 2,30E-31 0,38322786 2,87E-27 0
Tpst2 2,37E-31 0,41641062 2,95E-27 0
Gda 2,63E-31 0,44945562 3,28E-27 0
Ube2n 3,39E-31 0,38326934 4,22E-27 0
Eif3k 4,09E-31 0,34581233 5,09E-27 0
Fam107b 4,73E-31 0,37017012 5,89E-27 0
Fosl2 5,11E-31 0,42544939 6,36E-27 0
Eif3f 7,20E-31 0,35874487 8,96E-27 0
Atf3 8,23E-31 0,51901663 1,02E-26 0
Eif5a 8,52E-31 0,30155875 1,06E-26 0
St3gal4 8,94E-31 0,38745917 1,11E-26 0
Ccl9 1,17E-30 0,38855324 1,46E-26 0
Limd2 1,25E-30 0,37164426 1,55E-26 0
Ifngr2 2,03E-30 0,41228067 2,53E-26 0
Vasp 4,59E-30 0,43795599 5,72E-26 0
Rgs2 5,05E-30 0,56317492 6,29E-26 0
Ptprc 1,16E-29 0,39511483 1,45E-25 0
Ifrd1 1,77E-29 0,64119432 2,20E-25 0
Gm11808 1,81E-29 0,37152679 2,26E-25 0
Ucp2 5,19E-29 0,3422678 6,46E-25 0
Lman2 6,78E-29 0,37705811 8,43E-25 0
Ppp4c 9,66E-29 0,38020967 1,20E-24 0
Plin2 3,78E-28 0,35932647 4,71E-24 0
Jun 5,33E-28 0,4954287 6,63E-24 0
Pycard 6,84E-28 0,41314288 8,51E-24 0
Myd88 1,23E-27 0,36400193 1,53E-23 0
Actb 1,45E-27 0,37607872 1,81E-23 0
Coro1b 2,39E-27 0,41326537 2,97E-23 0
Selplg 3,92E-27 0,34725285 4,87E-23 0
Alas1 4,37E-27 0,42984682 5,44E-23 0
Fyb 4,45E-27 0,43605078 5,54E-23 0
Cope 1,04E-26 0,36821397 1,29E-22 0
Snx1 1,06E-26 0,39265997 1,32E-22 0
H2afy 1,82E-26 0,38761766 2,27E-22 0
Casp6 2,57E-26 0,50082779 3,20E-22 0
Tmbim6 6,42E-26 0,27095475 7,99E-22 0
Il1rn 1,13E-25 0,35794223 1,41E-21 0
Ubc 1,44E-25 0,38180092 1,79E-21 0
H2-DMb1 1,65E-25 0,38126787 2,05E-21 0
Litaf 2,23E-25 0,40643603 2,78E-21 0
Erp44 2,39E-25 0,37182632 2,98E-21 0
Ndel1 3,82E-25 0,40717809 4,76E-21 0
D8Ertd738e 5,48E-25 0,32555714 6,82E-21 0
Psma1 6,92E-25 0,32449631 8,61E-21 0
Kdm7a 2,26E-24 0,36650624 2,81E-20 0
Lyn 2,32E-24 0,35565273 2,88E-20 0
Il18 3,58E-24 0,35788128 4,46E-20 0
Hnrnpk 5,07E-24 0,27842073 6,31E-20 0
Rps27rt 6,89E-24 0,28816949 8,58E-20 0
Rnpep 9,32E-24 0,39264918 1,16E-19 0
Tma7 1,35E-23 0,28622269 1,68E-19 0
Eif3h 1,45E-23 0,31995686 1,80E-19 0
Milr1 1,56E-23 0,35547184 1,94E-19 0
Gadd45b 1,64E-23 0,46579386 2,04E-19 0
Cd300a 2,55E-23 0,3892867 3,17E-19 0
Rab32 3,00E-23 0,38238795 3,73E-19 0
Map2k3 3,23E-23 0,4210835 4,02E-19 0
Lilr4b 3,53E-23 0,32527539 4,39E-19 0
Chd7 4,01E-23 0,36289433 4,99E-19 0
Tmed5 5,15E-23 0,38392801 6,41E-19 0
Gnb2 6,40E-23 0,26699341 7,97E-19 0
Pid1 6,84E-23 0,31523459 8,52E-19 0
H13 7,62E-23 0,33470984 9,48E-19 0
Arf5 1,30E-22 0,2940256 1,62E-18 0
Sp100 2,37E-22 0,36836431 2,95E-18 0
Slfn5 3,93E-22 0,38080661 4,90E-18 0
Ptpn6 4,01E-22 0,34337732 4,99E-18 0
Gm9843 4,98E-22 0,28388329 6,20E-18 0
Pstpip1 6,73E-22 0,33715093 8,38E-18 0
Pitpna 7,64E-22 0,27905672 9,51E-18 0
Psma7 9,97E-22 0,27122499 1,24E-17 0
Traf1 1,31E-21 0,33269082 1,63E-17 0
Psme1 1,66E-21 0,34478619 2,06E-17 0
Cisd2 2,21E-21 0,34450034 2,75E-17 0
Trps1 2,99E-21 0,35551265 3,73E-17 0
Hpcal1 3,15E-21 0,35606321 3,92E-17 0
Pilra 3,87E-21 0,35077833 4,81E-17 0
Spcs2 3,97E-21 0,32783719 4,94E-17 0
Itgb2 5,18E-21 0,3111294 6,44E-17 0
Atp5f1 6,42E-21 0,25420077 7,99E-17 0
Tgfb1 6,97E-21 0,3883134 8,67E-17 0
Ndufa3 1,13E-20 0,2769331 1,41E-16 0
Ssr2 1,15E-20 0,3537116 1,43E-16 0
Atp5c1 1,24E-20 0,26936223 1,54E-16 0
Birc3 1,34E-20 0,31592645 1,67E-16 0
Ccl2 2,88E-20 0,66690517 3,58E-16 0
Agpat4 2,91E-20 0,35469239 3,63E-16 0
Gcsh 3,15E-20 0,41700021 3,92E-16 0
Ccnl1 3,32E-20 0,42055166 4,13E-16 0
Cdkn2d 6,02E-20 0,37182776 7,49E-16 0
Sf3b1 9,86E-20 0,3218083 1,23E-15 0
Hmgcl 1,55E-19 0,35607679 1,93E-15 0
Srsf3 1,85E-19 0,26781216 2,30E-15 0
Tpm4 2,09E-19 0,35377952 2,60E-15 0
Scand1 2,55E-19 0,31712338 3,18E-15 0
Tmem258 6,16E-19 0,29406271 7,67E-15 0
Zeb2 7,75E-19 0,29596398 9,64E-15 0
Plek 7,83E-19 0,3553954 9,74E-15 0
Pxk 9,97E-19 0,28728165 1,24E-14 0
Gdi2 1,58E-18 0,26169588 1,96E-14 0
Dennd4a 2,04E-18 0,36894644 2,53E-14 0
Gmfg 2,74E-18 0,27086053 3,41E-14 0
Cd86 3,24E-18 0,31704016 4,03E-14 0
D1Ertd622e 5,14E-18 0,30278833 6,40E-14 0
Il17ra 7,14E-18 0,29180336 8,88E-14 0
Trib1 7,15E-18 0,30172703 8,90E-14 0
Rgcc 1,67E-17 0,38089733 2,08E-13 0
Tor1a 1,85E-17 0,32730054 2,31E-13 0
Vmp1 2,55E-17 0,33547356 3,18E-13 0
Tnfrsf1a 3,23E-17 0,33248158 4,02E-13 0
Manf 4,16E-17 0,37346187 5,17E-13 0
Aif1 4,44E-17 0,33678467 5,52E-13 0
Picalm 4,64E-17 0,33554535 5,77E-13 0
Gadd45g 4,72E-17 0,33004765 5,88E-13 0
Fermt3 9,62E-17 0,30588557 1,20E-12 0
Sde2 1,07E-16 0,31931534 1,33E-12 0
Xbp1 1,12E-16 0,31453873 1,39E-12 0
Mcub 1,38E-16 0,28549703 1,72E-12 0
Ddx39 2,34E-16 0,28706494 2,91E-12 0
Emd 2,72E-16 0,33802751 3,39E-12 0
Tmed2 3,28E-16 0,29462053 4,08E-12 0
Sbno2 7,08E-16 0,28358419 8,82E-12 0
Zyx 7,87E-16 0,2961535 9,79E-12 0
Hebp1 9,19E-16 0,29846313 1,14E-11 0
B4galnt1 1,01E-15 0,29132377 1,26E-11 0
Sf3b6 1,44E-15 0,2576559 1,79E-11 0
Aldoa 2,41E-15 0,25762744 2,99E-11 0
Ccdc12 2,58E-15 0,26761164 3,22E-11 0
Psmb9 3,35E-15 0,2721028 4,17E-11 0
Tm6sf1 3,35E-15 0,25791965 4,17E-11 0
Rhog 3,85E-15 0,30931092 4,79E-11 0
Nop53 4,13E-15 0,26309413 5,14E-11 0
Ifnar2 4,14E-15 0,30172103 5,15E-11 0
Fis1 4,80E-15 0,26916203 5,98E-11 0
Tgm2 5,33E-15 0,37023244 6,64E-11 0
Hspa5 5,74E-15 0,27741328 7,14E-11 0
Psme2 1,32E-14 0,27970967 1,64E-10 0
Eif2s3y 1,48E-14 0,28206944 1,84E-10 0
Iscu 2,24E-14 0,28415179 2,79E-10 0
Tor1aip1 2,42E-14 0,29471155 3,02E-10 0
Pdia6 2,93E-14 0,27478302 3,64E-10 0
Psmb10 4,42E-14 0,30815476 5,50E-10 0
Fes 4,96E-14 0,28752184 6,18E-10 0
Uqcrc1 1,48E-13 0,25004241 1,84E-09 0
Vamp4 1,53E-13 0,28068088 1,91E-09 0
Ppt1 1,91E-13 0,28901607 2,38E-09 0
Smim4 2,12E-13 0,27425176 2,63E-09 0
Ube2l3 2,68E-13 0,26045901 3,33E-09 0
Nmi 2,73E-13 0,26625048 3,40E-09 0
Gsdmd 3,16E-13 0,27382397 3,94E-09 0
Tmem14c 3,55E-13 0,26534547 4,41E-09 0
Ankrd11 3,67E-13 0,26639044 4,57E-09 0
Ccnd3 4,58E-13 0,2595182 5,70E-09 0
Pira2 4,70E-13 0,26001283 5,85E-09 0
Fam49b 1,57E-12 0,27287414 1,95E-08 0
Sod2 1,70E-12 0,31544453 2,11E-08 0
Lrp10 2,72E-12 0,27891765 3,39E-08 0
Tkt 3,56E-12 0,25126506 4,43E-08 0
Tram1 3,86E-12 0,2541575 4,81E-08 0
Nfkbib 1,53E-11 0,28710966 1,90E-07 0
Nfkbiz 4,86E-11 0,26350587 6,05E-07 0
Bak1 6,61E-11 0,25351903 8,23E-07 0
Nrros 2,15E-10 0,25389834 2,68E-06 0
Twf2 3,18E-10 0,25536924 3,96E-06 0
C5ar1 1,65E-05 0,25328462 0,20564272 0
Ccl3 6,45E-05 0,35887024 0,80255921 0
Vsig4 0 2,57975987 0 1
Sparc 0 2,44633589 0 1
Hexb 0 1,73963266 0 1
S100b 0 1,66852685 0 1
TdTomato 0 1,66117395 0 1
Olfml3 0 1,65598831 0 1
Pmepa1 0 1,49806539 0 1
Ctsd 2,08E-299 2,13877297 2,58E-295 1
Trem2 2,39E-269 1,26540214 2,97E-265 1
Syngr1 1,25E-268 1,31704448 1,56E-264 1
C1qa 2,16E-251 1,19077331 2,68E-247 1
Timp2 4,65E-247 1,29663977 5,78E-243 1
Ltc4s 4,15E-238 1,25304323 5,17E-234 1
Arsb 1,19E-237 1,09673445 1,48E-233 1
Cx3cr1 2,68E-237 1,17776964 3,33E-233 1
Cst3 1,41E-230 0,91376878 1,75E-226 1
C1qc 4,50E-230 1,15137878 5,60E-226 1
Camk1 4,64E-225 1,15031329 5,78E-221 1
C1qb 1,74E-224 1,07154631 2,17E-220 1
Gpr34 4,28E-222 1,14003696 5,33E-218 1
Folr2 1,30E-221 1,16654263 1,62E-217 1
Grn 1,09E-217 0,93735778 1,36E-213 1
Ecscr 1,55E-211 0,83845546 1,93E-207 1
Tmem37 1,79E-207 1,10181281 2,22E-203 1
Bin1 1,06E-206 1,09882457 1,31E-202 1
Pltp 1,40E-203 1,02959922 1,74E-199 1
Cbr2 3,98E-203 1,12956789 4,95E-199 1
Bcl2a1b 8,01E-194 1,15114139 9,97E-190 1
Lair1 5,20E-173 0,93817745 6,47E-169 1
Anxa3 4,34E-169 0,97181259 5,40E-165 1
Rnase4 3,32E-166 0,91163896 4,13E-162 1
Tmem86a 4,95E-166 0,90306815 6,16E-162 1
Pmp22 6,68E-154 0,85763834 8,31E-150 1
Itm2b 1,31E-148 0,64141401 1,63E-144 1
Pla2g16 4,35E-145 0,78674529 5,42E-141 1
Ctsb 9,72E-141 0,66077647 1,21E-136 1
Serpinb6a 2,97E-138 0,78464532 3,69E-134 1
Cfh 1,34E-136 0,74273505 1,66E-132 1
Ly86 6,05E-136 0,84747989 7,53E-132 1
Ctss 7,39E-136 0,47293555 9,20E-132 1
Itgb5 2,57E-128 0,79662678 3,19E-124 1
Hpgd 4,77E-127 0,84652135 5,94E-123 1
Ctla2a 7,06E-127 0,70765941 8,78E-123 1
St3gal5 5,32E-125 0,67544723 6,62E-121 1
Cd9 4,57E-123 0,68975346 5,69E-119 1
Chst1 2,29E-121 0,57832746 2,85E-117 1
F11r 1,29E-120 0,80043889 1,61E-116 1
Tbxas1 1,22E-119 0,72823407 1,52E-115 1
Csf1r 2,36E-119 0,61384881 2,93E-115 1
Cspg4 3,50E-119 0,66638275 4,36E-115 1
Nfic 7,63E-119 0,77070137 9,50E-115 1
Slc9a3r2 1,62E-116 0,70566078 2,01E-112 1
Man2b1 1,15E-115 0,75923674 1,44E-111 1
Emp3 2,40E-115 0,5578349 2,98E-111 1
C3ar1 3,22E-115 0,73396551 4,01E-111 1
Nupr1 3,27E-114 1,01334447 4,07E-110 1
Adgre5 4,67E-111 0,74277635 5,81E-107 1
Fabp3 7,29E-111 0,53991499 9,07E-107 1
Fcna 1,86E-110 0,672964 2,31E-106 1
Lyz2 8,05E-109 0,66876317 1,00E-104 1
Serpine1 1,78E-108 0,83426948 2,22E-104 1
Smim14 1,01E-107 0,69653822 1,26E-103 1
Wfdc17 3,07E-107 1,09856015 3,81E-103 1
Cd37 5,13E-107 0,75155139 6,39E-103 1
Slc2a6 6,04E-107 0,6266112 7,51E-103 1
Fcgrt 1,11E-106 0,63594556 1,38E-102 1
Cd63 2,72E-105 0,60107635 3,39E-101 1
Tmsb4x 2,34E-101 0,28858405 2,92E-97 1
Dhrs3 1,80E-100 0,67135354 2,24E-96 1
Ninj1 8,90E-99 0,62946537 1,11E-94 1
Rhoc 2,22E-98 0,70104197 2,76E-94 1
Hexa 2,46E-98 0,62571266 3,06E-94 1
Lyve1 6,46E-98 0,73441915 8,05E-94 1
Hpgds 2,19E-96 0,61211622 2,72E-92 1
Ecm1 2,25E-95 0,59221589 2,80E-91 1
Mgst1 2,68E-94 0,6407535 3,34E-90 1
Selenom 2,40E-92 0,61150449 2,99E-88 1
Cd40 1,27E-91 0,59038356 1,58E-87 1
Sulf2 5,13E-91 0,63635999 6,39E-87 1
Tcim 5,91E-91 0,56533889 7,36E-87 1
Klf2 8,20E-91 0,7477301 1,02E-86 1
Lyz1 1,16E-90 1,07463759 1,45E-86 1
Rgs10 1,58E-90 0,54547527 1,96E-86 1
Apoe 3,78E-86 1,35991409 4,71E-82 1
Slco2b1 9,41E-86 0,56615956 1,17E-81 1
Tns1 6,53E-85 0,58442294 8,13E-81 1
Cebpzos 1,48E-83 0,59353561 1,84E-79 1
Selenop 4,00E-83 0,3781036 4,98E-79 1
Sigmar1 6,61E-79 0,62824466 8,23E-75 1
Serinc3 1,95E-78 0,48490028 2,43E-74 1
Lamp1 2,70E-78 0,55383875 3,36E-74 1
Mef2a 3,46E-77 0,58370369 4,31E-73 1
Stab1 5,26E-77 0,54311748 6,54E-73 1
Lpcat2 9,51E-77 0,59996908 1,18E-72 1
Mtus1 2,52E-76 0,50215214 3,14E-72 1
Ftl1 3,86E-76 0,31492139 4,80E-72 1
Comt 2,48E-75 0,61102421 3,09E-71 1
S1pr1 2,74E-75 0,51876306 3,41E-71 1
