Cluster	Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F1	Anxa2	3.2E-40	1.20036	1	0.974	6.13E-36
F1	Slurp1	2.59E-37	2.127482	0.417	0.062	4.96E-33
F1	Txn1	5.84E-36	1.095678	1	0.931	1.12E-31
F1	Igfbp6	1.3E-34	1.418252	0.992	0.94	2.49E-30
F1	Crip2	1.03E-33	1.159756	0.992	0.87	1.97E-29
F2	Cxcl12	9.18E-57	1.642371	0.961	0.671	1.76E-52
F2	Ctsb	5.9E-45	0.857229	0.989	0.954	1.13E-40
F2	Pcolce	5.59E-43	0.952381	1	0.971	1.07E-38
F2	Gpnmb	1.93E-42	1.163044	0.831	0.422	3.7E-38
F2	Gas6	7.44E-42	0.959344	0.965	0.728	1.42E-37
F2	Dcn	5.56E-40	0.748553	1	0.973	1.07E-35
F2	Serping1	1.06E-38	1.067863	0.972	0.883	2.02E-34
F2	Serpina3n	6.33E-38	1.079861	0.803	0.468	1.21E-33
F2	Rarres2	9.36E-36	0.974022	0.986	0.838	1.79E-31
F2	C4b	3.15E-35	0.999104	0.743	0.343	6.03E-31
F3	Cxcl1	4.85E-47	2.556798	0.81	0.251	9.28E-43
F3	Lpl	4.23E-40	1.911208	0.871	0.36	8.09E-36
F3	Dpep1	4.8E-37	1.281209	0.75	0.222	9.2E-33
F3	Ccl11	2.16E-34	1.392893	0.681	0.177	4.15E-30
F3	Acvr2a	5.51E-34	1.046518	0.517	0.118	1.06E-29
F3	Ntrk2	2.89E-31	1.136963	0.802	0.314	5.54E-27
F3	Gsn	3.85E-31	1.135511	1	0.991	7.38E-27
F3	Col4a1	1.08E-30	1.632134	0.836	0.441	2.07E-26
F3	Fst	5.93E-28	1.331829	0.698	0.259	1.14E-23
F3	Bmper	3.56E-27	0.782675	0.543	0.143	6.82E-23
F4	Pi16	1.55E-109	4.035385	0.923	0.233	2.96E-105
F4	Car8	5.48E-107	1.89606	0.788	0.118	1.05E-102
F4	Efhd1	1.07E-86	1.603401	0.827	0.218	2.04E-82
F4	Anxa3	6.04E-85	2.043907	0.957	0.385	1.16E-80
F4	Aif1l	1.81E-81	1.181406	0.591	0.075	3.47E-77
F4	Mfap5	2.41E-73	1.773895	1	0.685	4.62E-69
F4	Cd248	8.39E-73	1.644116	0.995	0.561	1.61E-68
F4	Tek	2.15E-72	0.819107	0.5	0.047	4.11E-68
F4	Zyx	7.78E-71	1.524139	0.904	0.392	1.49E-66
F4	Sema3c	1.98E-70	1.717605	0.913	0.439	3.79E-66
F5	C7	9.63E-52	1.210175	0.324	0.016	1.84E-47
F5	Abcc9	3.85E-38	0.828005	0.324	0.03	7.38E-34
F5	Fmo2	3.56E-35	1.245506	0.342	0.04	6.82E-31
F5	Rbp1	4.4E-34	1.807167	0.568	0.152	8.43E-30
F5	F3	9.75E-33	2.368749	0.541	0.143	1.87E-28
F5	Kcnj8	3.67E-31	1.216805	0.351	0.05	7.03E-27
F5	Sparcl1	5.07E-24	1.738239	0.631	0.234	9.7E-20
F5	Gdf10	1.56E-21	1.546707	0.559	0.194	2.99E-17
F5	Kitl	4.87E-20	1.395803	0.387	0.104	9.33E-16
F5	Cygb	1.34E-19	1.461814	0.802	0.597	2.56E-15
F6	Hsd11b1	9.42E-72	1.727112	0.742	0.033	1.8E-67
F6	Vtn	3.15E-58	1.430101	0.581	0.023	6.04E-54
F6	Aldh1a2	1.3E-42	1.670248	0.484	0.024	2.49E-38
F6	Ret	1.95E-37	0.9342	0.484	0.029	3.73E-33
F6	Atp1a2	5.59E-37	1.142874	0.613	0.049	1.07E-32
F6	Cldn15	1.26E-36	0.74603	0.419	0.021	2.42E-32
F6	Ccl11	1.82E-36	3.358332	1	0.206	3.49E-32
F6	Hmcn2	1.27E-35	2.497802	0.968	0.18	2.43E-31
F6	D630033O11Rik	4.49E-35	1.156915	0.548	0.042	8.6E-31
F6	Prss12	8.49E-34	1.087155	0.452	0.029	1.63E-29
